Year,Month,Date,Site,LoadNumber,Truck_CAT,Truck_Size,Volume,Picked,DiffReportOpened,Close_Date,Status,Typeload,Depot,IsReturned
2022,1,2022-01-01 0:00,Gateway,G0M0L9SZRR,Spot Hired,10p,64.8,Y,TRUE,Jan  8 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9T3RR,Spot Hired,10p,64.8,Y,TRUE,Jan 10 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9T6RR,Spot Hired,10p,64.8,Y,TRUE,Jan  8 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TARR,Spot Hired,10p,64.8,Y,TRUE,Jan  7 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TERR,Spot Hired,10p,64.8,Y,TRUE,Jan  7 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TJRR,Spot Hired,10p,64.8,Y,TRUE,Jan  5 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TNRR,Spot Hired,10p,64.8,Y,TRUE,Jan 10 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TSRR,Spot Hired,10p,64.8,Y,TRUE,Jan  8 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9TWRR,Owned,10p,64.8,Y,TRUE,Jan  3 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9U0RR,Spot Hired,10p,71.28,Y,TRUE,Jan  3 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9U4RR,Spot Hired,10p,64.8,Y,TRUE,Jan  5 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9U8RR,Spot Hired,10p,64.8,Y,TRUE,Jan  4 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9UCRR,Spot Hired,10p,64.8,Y,TRUE,Jan  6 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9UGRR,Spot Hired,10p,64.8,Y,TRUE,Jan  6 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9ULRR,Spot Hired,10p,68.4576,Y,TRUE,Jan  4 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9UQRR,Spot Hired,10p,64.8,Y,TRUE,Jan  5 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9UURR,Spot Hired,10p,64.8,Y,TRUE,Jan  6 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9UYRR,Spot Hired,10p,64.8,Y,TRUE,Jan  5 2022 12:00AM,Completed,DI,G0,Y
2022,1,2022-01-01 0:00,Gateway,G0M0L9V1RR,Spot Hired,10p,64.8,Y,TRUE,Jan 10 2022 12:00AM,Completed,DI,G0,Y
